               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  52,             0.05204,            0.047067,            0.027088,             0.34629,              0.3418,             0.30918,              0.1444,            0.055483,            0.028656,            0.026336,            0.004951,            0.004951,            0.004951
                  53,            0.051618,            0.046886,            0.027015,             0.36696,             0.35913,             0.32088,             0.15062,            0.055034,            0.028468,            0.026091,            0.004852,            0.004852,            0.004852
                  54,            0.051474,            0.046975,            0.026406,             0.39736,             0.34658,             0.31408,             0.14487,            0.055581,            0.028876,             0.02645,            0.004753,            0.004753,            0.004753
                  55,            0.051304,            0.046483,            0.026686,             0.39222,              0.3733,             0.32858,             0.15291,            0.055172,            0.028716,            0.026189,            0.004654,            0.004654,            0.004654
                  56,            0.051153,            0.046495,            0.026761,             0.42083,             0.37192,             0.34578,             0.15748,            0.054902,            0.028407,            0.026014,            0.004555,            0.004555,            0.004555
                  57,            0.051271,            0.046909,            0.026748,             0.39791,             0.35804,             0.32579,             0.15265,            0.055281,            0.028437,            0.026583,            0.004456,            0.004456,            0.004456
                  58,            0.050944,            0.045332,            0.025988,              0.3858,             0.37051,             0.33666,             0.15545,             0.05516,            0.028753,            0.026003,            0.004357,            0.004357,            0.004357
                  59,            0.050876,            0.046283,            0.025768,               0.402,             0.35596,             0.32841,             0.15729,            0.054899,            0.028457,            0.026167,            0.004258,            0.004258,            0.004258
                  60,            0.050732,            0.045613,            0.026149,             0.33776,             0.36754,              0.3143,             0.15058,            0.055016,            0.028236,            0.026154,            0.004159,            0.004159,            0.004159
                  61,            0.050615,            0.046212,            0.025996,             0.41697,             0.36839,             0.33259,             0.15224,              0.0551,            0.028464,            0.025909,             0.00406,             0.00406,             0.00406
                  62,             0.05062,            0.045875,            0.025987,              0.4165,              0.3558,             0.32991,             0.15478,            0.054913,            0.028703,            0.026193,            0.003961,            0.003961,            0.003961
                  63,            0.050527,            0.045726,            0.026527,             0.40093,             0.34862,              0.3275,             0.15466,            0.054966,            0.028535,             0.02612,            0.003862,            0.003862,            0.003862
                  64,            0.050238,            0.046422,            0.025886,             0.39913,             0.36137,             0.32669,             0.15707,            0.055101,            0.028188,            0.025954,            0.003763,            0.003763,            0.003763
                  65,            0.050036,            0.045887,             0.02564,             0.37404,             0.37761,              0.3263,             0.15457,            0.054709,            0.028424,            0.026123,            0.003664,            0.003664,            0.003664
                  66,            0.049841,            0.045361,            0.025869,             0.43915,             0.36604,             0.33728,             0.15711,            0.054897,            0.028592,            0.025998,            0.003565,            0.003565,            0.003565
